Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Anderson, Sydney","Some observations of the numbers and distribution of common intertidal animals at Friday Harbor, Washington",Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Balanus; Littorina; Acmaea,Friday Harbor,
"Boddy, Dennis W.","The Gammaridea (Amphipoda) of the San Juan Islands: a preliminary study of their taxonomy, distribution, and habitats",Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,San Juan Islands,
"Engstrom, Verna Louise",The vertical distribution of several common intertidal invertebrates on a rocky shore,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Acmaea; Littorina scutulata,Brown Island,
"Garoian, George S.","The burrows and burrowing of Upogebia pugettensis, Thelepus crispus, Eupolymnia heterobranchia, and Nereis virens",Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Upogebia pugettensis; Thelepus crispus; Eupolymnia heterobranchia; Nereis virens,,
"Heck, Oscar B.",A study of the zonation of some animals on an exposed rocky point,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,,
"Orihel, Thomas Charles",A key to the nudibranchiate mollusca of the San Juan Island area including descriptive notes,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,San Juan Islands,
"Russell, Robert J.",Notes on the ecological distribution and commensals of hermit crabs in the San Juan Islands,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,San Juan Islands,
"Stains, Howard J.",The marking of sea urchins of the genus Strongylocentrotus in a study of their movement,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,"Strongylocentrotus droebachiensis; Strongylocentrotus purpuratus
",,
"Tucker, Marie",A study of the terebellid polychaetes of the Friday Harbor region,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,Friday Harbor,
"Vincent, Brother I.",A study of the home range of Thais lamellosa,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,"Thais lamellosa
",,
"Black, Robert E.L.","The anatomy of a parasitic gastropod in the holothurian, Parastichopus californicus",Zoology 533,Advanced Invertebrate Zoology,Summer,1954,"Entoconcha mirabilis; Parastichopus californicus
",,
"Bowman, Douglas",Notes on the anatomy of Cryptochiton stellari middendorf,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,"Cryptochiton stellari
",,
"Bumgardner, Jess",A study of total salinity effects on gill cilia of Mytilus edulis and Mytilus californianus,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,"Mytilus edulis; Mytilus californianus
",,
"Clogston, Fred L.",Preliminary survey of the fauna living directly upon Zostera marina (Linne) in the San Juan Island-Puget Sound Region; with notes on seasonal variations,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Zostera marina,"Brown Island; False Bay, San Juan Island; Argyle Lagoon, San Juan Island",
"Dodge, Eleanor",A study of the interrelationships between pecten and associated sponges in the Puget Sound area,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Pecten; Myxilla parasitica; Mycale adhaerens,Puget Sound,
"Dudley, Patricia L.",A brief taxonomic survey of the shrimp of the family Hippolytidae from the waters of the San Juan archipelago with a key to the Hippolytidae of Washington,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Spirontocaris; Hippolytidae; Cragonidae,San Juan Islands,
"Gonor, Jefferson J.",Observations on the embryology of Phylliaplysia taylori Dall,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,"Phyllaplysia taylori
",,
"Kaplan, Eugene H.",Some factors concerned with the resistance to tidal currents and crowding as shown by certain tide pool organisms,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,,,
"Malcolm, David R.",Resistance to desiccation and submergence as correlated to the zonal distribution of three species of intertidal snails,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Littorina scutulata; Littorina sitkana; Thais lamellosa,,
"Nydegger, LeRoy B.",Observations on the behavior of Schizobranchia insignis Bush,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Schizobranchia insignis; Sabella pavonina; Pseudopotamilla occelata; Potamilla occelata,,
"Osborn, Howard H.",A revision of the taxonomic key of the medusae found in the San Juan waters,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Leuckartiara,San Juan Islands,
"Pangburn, Joan",A study of the radula of chitons in the species Tonicella lineata Wood,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,,,
"Cloney, Richard A.",Notes on the bottom fauna of a portion of East Sound,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,"East Sound, Orcas Island; Twin Rocks",
"Gillespie, Walter L.","A comparison of tide pools on limestone and ""igneous"" rock",Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,,
"Heinsohn, George E.",A comparative study of some tide pools at Kanaka Point,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,Kanaka Point,
"Throckmorton, Lynn H.",A comparison of the fauna found and its distribution on two beaches in the region of False Bay,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,"False Bay, San Juan Island",
"West, George C.","Comparison of the fauna and flora on limestone and ""igneous"" rock",Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,,
"Chammek, Ard",Eel grass (Zostera) and the organisms associated with it at Argyle Lagoon,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,Zostera,"Argyle Lagoon, San Juan Island",
"Pilon, Lorraine M.",Nudibranchs of the San Juan Islands,Zoology 533,Advanced Invertebrate Zoology,Summer,1956,,San Juan Islands,
"Schinske, Robert",The fauna and ecology of Argyle Creek,Zoology 533,Advanced Invertebrate Zoology,Summer,1956,,"Argyle Creek, San Juan Island",
"Ching, Hilda Lei","A preliminary report on larval trematode studies at Friday Harbor, Washington",Zoology 533,Advanced Invertebrate Zoology,Summer,1957,"Cystophorous cercariae
",Friday Harbor,
"George, Carl J., Jr.",A survey of animal forms occuring on a transect running north-west from the northwest corner of Brown Island,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,Brown Island,
"Jones, Laurence G.",A study of the chitons of San Juan Island and vicinity,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,San Juan Island,
"Karl, John E., Jr.",A student report of the Amphipoda of the San Juan Islands,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,"Gammaridea
",San Juan Islands,
"Marsh, Michael",A key to the nudibranchiate gastropods of the San Juan Islands,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,San Juan Islands,
"Roberts, Larry S.",Determination of acetyl choline type compounds in nerves of various invertebrates,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,"Protothaca staminea
",,
"Willing, E.S., Jr.","A special marine environment created by Argyle Lagoon, San Juan Island",Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,"Argyle Lagoon, San Juan Island",
"Higgins, Robert P.",A preliminary study of the kinorhynchs of the San Juan archipelago,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,"Cyclorhagous kinorhynchs; Homalorhagous kinorhynchs
",San Juan Islands,
"Higgins, Robert P.",Three new homalorhage kinorhynchs from the San Jusan Archipelage. Washington,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Pycnophyes sanjuanensis; Trachydemus ilvocryptus; Trachydemus cataphractus,San Juan Islands,
"Ingels, Nancy",A preliminary study of the behavior of Clinocardium nuttallii in the presence of asteroids,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Clinocardium nuttallii; Pisaster ochraceus; Cardium californiense,,
"Paris, O.H., Jr.",Predation in Balanus-Mytilus communities,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Thais canaliculata; Mytilus edulis; Balanus,,
"Stanley, Hugh P.",Problems of larval settlement at Friday Harbor,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,,Friday Harbor,
"Tikasingh, Elisha",Parasitic gastropods of Puget Sound,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Parastichopus californicus; Cucumaria; Eupentacta,Puget Sound,
"Ward, Jack A.",A further investigation on the swimming reaction of Stomphia coccinea,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Dermasterias imbricata; Crossaster papposus; Hippasteria spinosa,,
"Willis, Edwin","A study of sand-dwelling polychaetes in False Bay, Washington",Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Rhynchospio arenincola; Polydora; Notomastus tenuis,"False Bay, San Juan Island",
"Berger, Jacques","A preliminary survey of the ciliated protozoa entocommensal in the Echinoidea of San Juan County, Washington.",Zoology 533,Advanced Invertebrate Zoology,Summer,1959,"Strongylocentrotus; Dendraster excentricus
",San Juan Islands,
"Boss, Kenneth Jay",Preliminary keys to the genera and species of pelecypoda of the San Juan area,Zoology 533,Advanced Invertebrate Zoology,Summer,1959,Pelecypod,"San Juan Islands
",
"Chia, Fu-shiang",Regeneration in Leptasterias hexactis,Zoology 533,Advanced Invertebrate Zoology,Summer,1959,Leptasterias hexactis; Leptasterias aequalis; Leptasterias alaskensis,,
"Margolin, Abe S.",The Diodora-starfish response,Zoology 533,Advanced Invertebrate Zoology,Summer,1959,Diodora,,
"Ramseyer, Linda Marcus",Rheotactic behavior in Ophiopholis aculeata under conflict conditions,Zoology 533,Advanced Invertebrate Zoology,Summer,1959,"Ophiopholis aculeata
",,
"Salli, Arne J.",Observations on the behavior of hermit crabs,Zoology 533,Advanced Invertebrate Zoology,Summer,1959,Thais lamellosa; Pagurus granosimanus; Balanus cariosus,,
"Stewart, Glenn R.",Osmoregulation in the sphaeromid isopods from brackish water at False Bay,Zoology 533,Advanced invertebrate zoology,Summer,1959,Sphaeroma oregonensis; Gnorimosphaeroma,"False Bay, San Juan Island",
"Twarog, Betty M.",Responses of Pecten hindsii and Pecten hericius to asteroids and certain other stimuli,Zoology 533,Advanced invertebrate zoology,Summer,1959,Strongylocentrotus echinoides; Pecten hindsii; Pecten hericius,,
