Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Erickson, Sandy",An evaluation of the successionary status of a marine intertidal community 7 months after the opening of primary space,Botany 445; Zoology 430,Marine Algology Marine Zoology,Spring,1976,,,
"Hueckel, Greg",Echinoderm variability in two areas of different geological structure,Botany 445; Zoology 430,Marine Algology Marine Zoology,Spring,1976,,,
"Shinn, George","Ostracoda of Argyle Lagoon and North Bay, San Juan Island, Washington",Botany 445; Zoology 430,Marine Algology Marine Zoology,Spring,1976,,"Argyle Lagoon, San Juan Island; North Bay, San Juan Island",
"Smith, Nancy E.","Common crustose, noncalcified Rhodophyta of the San Juan Island vicinity",Botany 445; Zoology 430,Marine Algology Marine Zoology,Spring,1976,,,
"Vogt, Richard",Characterization of the environment of Nebalia pugettensis in North Bay,Botany 445; Zoology 430,Marine Algology Marine Zoology,Spring,1976,Nebalia pugettensis,"North Bay, San Juan Island",
"Walker, Liz; Himelick, Dave",Habitat comparison study of Hemigrapsus oregonensis and Hemigrapsus nudis,Botany 445; Zoology 430,Marine Algology Marine Zoology,Spring,1976,Hemigrapsus oregonensis; Hemigrapsus nudus,,
"Coomes, Carol; Matheson, Linda; Tyler, Melanie",Marine faunal survey between Jones and Yellow Islands,Botany 445; Zoology 430,Marine Algology Marine Zoology,Fall,1976,,Jones Island; Yellow Island,
"Cox, Jeffrey","Partial survey of bryozoans in the San Juan Islands, Washington",Botany 445; Zoology 430,Marine Algology Marine Zoology,Fall,1976,,San Juan Islands,
"Johnson, Nellie",Pycnogonidea and Caridea of Jones and Yellow Island and Salmon Banks,Botany 445; Zoology 430,Marine Algology Marine Zoology,Fall,1976,,"Jones Island; Yellow Island; Salmon Bank, San Juan Island",
"Kaiser, Rick",A comparative study of marine invertebrates inhabiting vertical rock cliffs at depths of forty to fifty feet below sea level,Botany 445; Zoology 430,Marine Algology Marine Zoology,Fall,1976,,,
"Munns, Wayne R",A partial survey of shelled prosobranchs and opisthobranchs of the San Juan Islands,Botany 445; Zoology 430,Marine Algology Marine Zoology,Fall,1976,,San Juan Islands,
"Munns, Wayne R.; Berg, Brian C","Examination of fine detail in the cell walls of desmids (Zygnematales, Chlorophycophyta) with the scanning electron microscope",Botany 445; Zoology 430,Marine Algology Marine Zoology,Fall,1976,Zygnematales; Chlorophycophyta,,
"Wolfe, Jim","Variety in Coscinodiscus species found in the fall plankton at Friday Harbor, Washington",Botany 445; Zoology 430,Marine Algology Marine Zoology,Fall,1976,Coscinodiscus,Friday Harbor,
"Amish, Richard","Comparison of a nighttime and daytime beach seine collection at Deadman Bay, Washington, with general notes on the Ichthyofauna of the area",Fisheries 525,Marine Fish Ecology,Spring,1976,Oligocottus maculosus,"Deadman Bay, San Juan Island",
"Bailey, Kevin",Westcott Bay aquaculture: effects on the nearshore fish community,Fisheries 525,Marine Fish Ecology,Spring,1976,,"Westcott Bay, San Juan Island",
"Fresh, Kurt","The nearshore fish community of Deadman Bay, Washington in the spring and summer with reference to a proposed housing development at the bay.",Fisheries 525,Marine Fish Ecology,Spring,1976,,"Deadman Bay, San Juan Island",
"Glock, James W.",Potential effects of oyster raft-culture on Westcott Bay,Fisheries 525,Marine Fish Ecology,Spring,1976,,"Westcott Bay, San Juan Island",
"Manfredi, Gene",Impacts from oyster mariculture,Fisheries 525,Marine Fish Ecology,Spring,1976,,,
"McConnaha, Willis E.","A comparison of the habitat and nearshore fishes of Deadman Bay and Westcott Bay, San Juan Island",Fisheries 525,Marine Fish Ecology,Spring,1976,,"Deadman Bay, San Juan Island; Westcott Bay, San Juan Island",
"Mundt, J. Carl","An administrative approach toward application of the Shoreline Management Act in Westcott Bay on San Juan Island, Washington",Fisheries 525,Marine Fish Ecology,Spring,1976,,"Westcott Bay, San Juan Island",
"Rich, Alice A.",A preliminary study to determine the distribution of intertidal fishes as a function of habitat,Fisheries 525,Marine Fish Ecology,Spring,1976,,,
"Thornburgh, Kathy",A day-night comparison of  two fish communities,Fisheries 525,Marine Fish Ecology,Spring,1976,,,
"Wolotira, Robert J., Jr.","A study of the nearshore fish community of Westcott Bay, San Juan Island, Washington and discussion of influence upon the fish community by a proposed aquaculture project",Fisheries 525,Marine Fish Ecology,Spring,1976,,"Westcott Bay, San Juan Island",
"Bucklin, Ann",Speculations on differential resistance to emersion of sporelings of Iridaea cordata and Iridaea heterocarpa,Botany 545,Marine Algology,Summer,1976,Iridaea cordata; Iridaea heterocarpa; Fucus,,
"Cruickshank, Kathleen",Light and electron microscope study of Schizymenia pacifica and Cruoria sp. Gland cells,Botany 545,Marine algology,Summer,1976,Schizymenia pacifica; Cruoria; Opuntiella californica,,
"Deysher, Larry",Factors effecting the settlement and growth of Sargassum kjelimanianum (y...??) embryos,Botany 545,Marine Algology,Summer,1976,Sargassum kjelimanianum (muticum); Melosira,,
"Dixon, Susan C.",Algae associated with the sponge Isodictya laxa,Botany 545,Marine Algology,Summer,1976,Isodictya laxa; Derbesia marina; Colaconema,,
"Savage, Tim","Development in culture of Delesseria decipiens, J. Agardh.  Germlings: gametophytes and tetrasporophytes",Botany 545,Marine Algology,Summer,1976,Delesseria decipiens; Ceramiales,,
"Spencer, Ken",Oxygen exchange rates in air and water of two intertidal red algae,Botany 545,Marine Algology,Summer,1976,"Petrocelis middendorfii; Gigartina papillata
",,
"White, Janet K.",A comparison of the algal population on two naturally occurring substrates: limestone and chert,Botany 545,Marine Algology,Summer,1976,"Fucus distichus; Ulva
",,
"White, Woody","Aspects of the relationship between morphlogy and environment of the algae, Laminaria saccharina, Fucus distichus, and Sargassum muticum",Botany 545,Marine Algology,Summer,1976,Laminaria saccharina; Fucus distichus; Sargassum muticum,,
"Fouty, Gary; Lough, Greg","The environmental physiology of Big Skate (Raja binoculata Girard) egg cases found in Bellingham Bay, Washington",Zoology 576,Environmental Physiology of Marine Organisms,Spring,1976,Raja binoculata,Bellingham BAy,
"Hedberg, Mary F.","An investigation of intertidal, sand-dwelling dinoflagellates of False Bay",Oceanography 534,Phytoplankton Ecology,Summer,1976,Amphidinium; Katodinium; Glenodinium,"False Bay, San Juan Island",
"King, Kenneth R.","East Sound cruise report, 1976",Oceanography 534,Phytoplankton Ecology,Summer,1976,,"East Sound, Orcas Island; Harney Channel",
"McKnight, Diane; Yen, Jeanette",The paradox of the plankton demonstrated in a natural continuous flow culture,Oceanography 534,Phytoplankton Ecology,Summer,1976,,,
"Price, Linda H.",Productivity and nutrient flow in tidal waters of False Bay,Oceanography 534,Phytoplankton Ecology,Summer,1976,,"False Bay, San Juan Island",
"Tuominen, Taina",The application of the scanning electron microscope to the study of planktonic diatoms (illustrated),Oceanography 534,Phytoplankton Ecology,Summer,1976,,,
"Welschmeyer, Nick",Measurement of quantum efficiency in photosynthetic marine phytoplankton,Oceanography 534,Phytoplankton Ecology,Summer,1976,Dunaliella; Thalassiosira; Coscinodiscus,,
"Will, Brian R.",The application of the Coulter Counter to marine phytoplankton ecology: monitoring growth rates of algal cultures and determining filtering rates of marine zooplankton,Oceanography 534,Phytoplankton Ecology,Summer,1976,Chaetoceros; Skeletonema,,
"Hargis, Jack R.",Comparison of techniques for the measurement of zooplankton filtration rates,Oceanography 533,Zooplankton Ecology,Summer,1976,"Acartia clausi
",,
"King, Kenneth R.",Laboratory culture of Oikopleura dioica Fol (Urochordata: Appendicularia),Oceanography 533,Zooplankton Ecology,Summer,1976,Pleuronectes platessa; Oncorhynchus gorbuscha; Oikopleura dioica,,
"Will, Brian R.",Feeding rates and behavior of Tortanus discaudatus (Thompson and Scott) offered Acartia clausi Giesbrecht as prey,Oceanography 533,Zooplankton Ecology,Summer,1976,"Tortanus discaudatus; Acartia clausi
",,
"Bottjer, David; Fine, Karen",The escape response of Clinocardium nuttalli and Protothaca staminea to predatory sea stars and other stimuli,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Clinocardium nuttallii; Protothaca staminea; asteroids
",,
"Bottjer, David",SEM Observations on the gizzard plates of Haminoea virescens,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Haminoea virescens
",,
"Fine, Karen",The jaw of Ariolomax columbianus,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Ariolimax columbianus
",,
"Harrington, Cindy",The radula of Ariolimax columbianus,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Ariolimax columbianus
",,
"Harrington, Cindy; Veil, John",Studies of interaction between 3 starfish species and Searlesia dira and Acmaea mitra,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Searlesia dira; Acmaea mitra,,
"James, Matthew; Nolen, Thomas G.",The escape responses of Haliotis kamtschatkana to three predatory sea stars,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Haliotis kamtschatkana
",,
"Nolen, Thomas G.","A scanning electron microscopy study of the radula of Collisella pelta (Gastropoda, Acmaeidae)",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Collisella pelta
",,
"Riggs, Alan; Thompson, Janice",Escape and other responses of Chlamys hastata,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Chlamys hastata
",,
"Riggs, Alan",To bore or not to bore,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Ceratostoma
",,
"Veil, John A.",A study of the radulae of Acmaea mitra and Notoacmea persona by scanning electron microscopy,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Acmaea mitra; Notoacmea persona
",,
"White, Janet; Hershler, Bob",The escape responses of Calliostoma annulatum and Calliostoma ligatum to three predatory sea stars,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Calliostoma annulatum; Calliostoma ligatum
",,
"Wilson, W. Herbert., Jr.; Chan, Christopher Y.","The response of Katharina tunicata (Mollusca, Polyplacophora) to asteroid predators",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Katharina tunicata; asteroids
",,
"Wilson, W. Herbert, Jr.","A scanning electron microscope study of the radula of Archidoris odhneri (MacFarland, 1966) (Nudibranchia, Dorididae)",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Archidoris odhneri
",,
"Bottjer, David",The functional significance of well-developed hairy periostracum on Fusitriton oregonensis and of secondary periostracal hairs on Modiolus rectus,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Fusitriton oregonensis; Modiolus rectus
",,
"Chan, Christopher Yiu-bun",A preliminary study of shell preference by the hermit crab Pagurus granosimanus,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Pagurus granosimanus
",,
"Fine, Karen",Gull predation on cockles (Clinocardium nuttallii) at Garrison Bay,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Clinocardium nuttallii
","Garrison Bay, San Juan Island",
"Fine, Karen",Skin color changes in Octopus sp.: the influence of visual and tactile environmental cues,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Octopus
",,
"Harrington, Cindy",Cobalt backfilling of the pedal nerve cell bodies of Ariolimax columbianus,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Ariolimax columbianus; Agriolimax reticulatus
",,
"Harrington, Cynthia","Responses of Searlesia dira to current, dead prey, and Pisaster ochraceus in a y-maze",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Searlesia dira; Pisaster ochraceus
",,
"Hershler, Robert",Observations on some local (San Juan archipelago) burrowing gastropods,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Searlesia; Neptunea
",San Juan Islands,
"Hershler, Robert",A preliminary look at the shell morphometry of Margarites pupillus,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Margarites pupillus
",,
"James, Matthew",Further studies of the radula of the cephalopod Octopus sp. using scanning electron microscopy,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Octopus briareus; Octopus salutii; Octopus vulgaris,,
"Nolen, Thomas G.","Two separate escape responses of Haliotis kamtschatkana (Mollusca, Gastropoda) to the two predatory asteroids Pisaster ochraceus and Pycnopodia helianthoides",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Haliotis kamtschatkana; Pisaster ochraceus; Pycnopodia helianthoides,,
"Riggs, Alan",An inside story on shell morphology,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,,,
"Thompson, Janice E.",On the nature of the food of Diodora aspera and Puncturella multistriata (Gastropoda) and their commensal Arctonoe vittata (Polychaeta),Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Diodora aspera; Puncturella multistriata; Arctonoe vittata,,
"Veil, John A.",A study of righting abilities in five species of acmaeid limpets,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,,,
"White, Janet K.",A comparison of the molluscan assemblages on two naturally occurring substrates: limestone and chert,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,,Cliff Island,
"Wilson, W. Herbert, Jr.",Protective mechanisms in the Gastropoda with special reference to defensive acid secretion,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Lamellaria rhombica; Lamellaria stearnsi; Velutina velutina,,
"Wilson, W. Herbert, Jr.","A short term investigation of the behavior of Onchidella borealis (Gastropoda, Soleolifera)",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Onchidella borealis
",,
"Bottjer, David",Dissection of Clinocardium nuttallii,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Clinocardium nuttallii
",,
"Chan, Christopher Y.",Dissection of Dentalium (Fustiaria) rectius,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Dentalium rectius
",,
"Fine, Karen",Chlamys - a sissection with discussion of functional morphology,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Chalamys,,
"Harrington, Cindy",Ariolimax dissection,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Ariolimax
",,
"Hershler, Robert",The functional anatomy of Trichotropis cancellata (Gastropoda; Prosobranchia),Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Trichotropis cancellata
",,
"James, Matthew",Dissection of Octopus sp.,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Octopus
",,
"Nolen, Tom","Dissection of Acila castrensis (Bivalvia, Palaeotaxodonta)",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Acila castrensis
",,
"Riggs, Alan",A description of Ceratostoma foliatum,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Ceratostoma foliatum
",,
"Thompson, Janice E.","Dissection guide for the chiton, Mopalia muscosa",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Mopalia muscosa
",,
"Veil, John A.",Dissection guide for Acmaea,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Acmaea; Collisella; Notoacmea,,
"White, Janet K.",Dissection guide for Fusitriton oregonensis,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Fusitriton oregonensis
",,
"Wilson, W. Herbert, Jr.","Functional anatomy of Archidoris odhneri (MacFarland, 1966) (Nudibranchia, Dorididae",Zoology 533,Advanced Invertebrate Zoology,Summer,1976,"Archidoris odhneri
",,
"Hose, Jo Ellen",Beach seine and habitat camparison survey,Fisheries 465a,Marine Fish Biology,Summer,1976,Cymatogaster; Leptocottus; Ophiodon,,
"Busby, Sharon",Can trigger cells trigger without their cell bodies?,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Busby, Sharon; Olberg, Rob",A brief study of neuronal activity during feeding in Tritonia diomedia,Zoology 538,Comparative Physiology,Spring,1976,Tritonia diomedea; Helisoma,,
"Busby, Sharon; Taylor, Charlie",Cobalt filling: a success story,Zoology 538,Comparative Physiology,Spring,1976,Tritonia diomedea; Aplysia californica,,
"Busby, Sharon; Dungan, Christopher; Olberg, Rob",Neuronal mechanism of swimming in Tritonia: a brief study,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea; Pycnopodia helianthoides
",,
"Dungan, Chris; Gunson, Karen",Intracellular injection and nerve trunk backfilling with CoCl2 in the brain and buccal ganglia of Tritonia diomedia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Gunson, Karen",The effect of destruction of contralateral trigger cells in the pleural ganglia of Tritonia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Gunson, Karen",Interactions between buccal ganglion neurons controlling feeding behavior in Tritonia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Gunson, Karen; Taghert, Paul",The effect of KCl electrodes on the reversal potential of the chloride equilibrium in Aplysia,Zoology 538,Comparative Physiology,Spring,1976,"Aplysia californica
",,
"Hockberger, Philip; Williams, David",Correlations between single cell activity and behavioral responses in Tritonia diomedia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Hockberger, Philip; Kerfoot, Patrick",Electrophysiological identification of monosynapticity,Zoology 538,Comparative Physiology,Spring,1976,"Aplysia californica
",,
"Kerfoot, Patrick; Hockberger, Philip",Iontophoretic study of acetylcholine receptors on Aplysia neurons,Zoology 538,Comparative Physiology,Spring,1976,"Aplysia californica
",,
"Olberg, R.; Dungan, C.",Electrical measurements in trigger group neurons of Tritonia diomedia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Olberg, Rob; Thompson, Texanna; Taghert, Paul",Cobalt staining of neurons in various gastropod molluscs,Zoology 538,Comparative Physiology,Spring,1976,Tritonia; Aplysia; Archidoris,,
"Shadle, Paula; Gunson, Karen",Aspects of neural activity and behavior in some gastropods,Zoology 538,Comparative Physiology,Spring,1976,Tritonia diomedea; Melibe leonina; Phestilla sibogae,,
"Shadle, Paula; Kerfoot, Patrick",Intracellular staining of neurons in the CNS of Tritonia diomedia using the cobalt technique,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Taghert, P.; Kerfoot, P.; Shadle, P.",Electrical coupling between neurons in the pleural ganglia of Tritonia diomedia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Taghert, P.H.; Thompson, T.J.",Role of re-identifiable cerebral ganglion neurons in control of swimming in Tritonia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Taylor, Charles; Thompson, Texanna",Some effects of iontophoresis of acetylcholine on Aplysia neuron somata,Zoology 538,Comparative Physiology,Spring,1976,"Aplysia californica
",,
"Taylor, Charles; Thompson, Texanna",The neural basis of feeding in Tritonia diomedia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea; Helisoma trivolvis
",,
"Taylor, Charles; Williams, David",Evidence for a monosynaptic connection in Aplysia cerebral ganglion,Zoology 538,Comparative Physiology,Spring,1976,"Aplysia californica
",,
"Williams, David; Hockberger, Philip",A light microscopic examination of the cobalt staining methods used in neurocytological studies,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea; Aplysia californica
",,
"Williams, David; Hockberger, Philip",Electrotonic coupling in the trigger group neurons of Tritonia diomedia,Zoology 538,Comparative Physiology,Spring,1976,"Tritonia diomedea
",,
"Williams, David; Shadle, Paula",An iontophoretic study of Aplysia neurons,Zoology 538,Comparative Physiology,Spring,1976,"Aplysia californica
",,
"von Carolsfeld, J.S.; Keenan, C.L.",Further adventures with ion-sensitive electrodes.  Part II: Cl  -LIX,Zoology 538,Comparative Invertebrate Physiology,Spring,1976,"Cancer magister
",,
"Anderson, Gregory; Duke, Susan; Emlet, Richard",Baseline study of Goose Island Area A,Botany 445; Zoology 430,,Spring,1977,,"Goose Island, San Juan County",
"Blum, Joey",An investigation of dinoflagellate feeding and photosynthetic behavior,Botany 445,Marine Algology,Fall,1977,,,
"Hostetler, Barbara",Changes in the Fall population of diatoms and dinoflagellates at the Friday Harbor Laboratory,Botany 445,Marine Algology,Fall,1977,,Friday Harbor Laboratories,
"Matteucci, Neil",Observations on flagellar coordination within colonies of Synura,Botany 445,Marine Algology,Fall,1977,Synura,,
"McCormick, Macushla",The isolation of nanoplankton flagellates,Botany 445,Marine Algology,Fall,1977,,,
"Palsson, Wayne A.",Orientation and patterns of benthic diatom colonization,Botany 445,Marine Algology,Fall,1977,,,
"Pine, Peter",In vitro chlorophyll measurements of the diel migrations of diatom populations on hard substratum,Botany 445,Marine Algology,Fall,1977,,,
"Renfrew, Jill",Vertical migration in diatoms?,Botany 445,Marine Algology,Fall,1977,,,
"Schonberg, Kristian K",The presence of tannins in certain Phacophycophyta species and their purpose,Botany 445,Marine Algology,Fall,1977,,,
"Selleck, Scott",Benthic diatom communities associated with highly varied intertidal environments,Botany 445,Marine Algology,Fall,1977,,,
"Blum, Joey",Are larvae of the sand dollar Dendraster excentricus food limited in their rate of development?,Zoology 430,Marine Zoology,Fall,1977,Dendraster excentricus,,
"Hostetler, Barbara",Differences in caecated and acaecated dorid nudibranchs related to their digestive systems and feeding behaviors,Zoology 430,Marine Zoology,Fall,1977,,,
"Matteucci, Neil",Observations on the behavior of Anthopleura elegantissima during exposure to light of varying wavelengths and intensities,Zoology 430,Marine Zoology,Fall,1977,Anthopleura elegantissima,,
"McCormick, Macushla",The feeding biology of Searlesia dira and an escape response of Notoacmea scutum to Searlesia,Zoology 430,Marine Zoology,Fall,1977,Searlesia dira; Notoacmea  scutum,,
"Palsson, Wayne A.",Pacific Tomcod and Walleye Pollock: prey observations,Zoology 430,Marine Zoology,Fall,1977,,,
"Pine, Peter",Water transport in the ascidian Pyura haustor (Stimpson),Zoology 430,Marine Zoology,Fall,1977,Pyura haustor,,
"Renfrew, Jill",Escape responses of certain asteroids to Solaster dawsoni,Zoology 430,Marine Zoology,Fall,1977,Solaster dawsoni,,
"Schonberg, Kristian K",Survival of clams left behind by sports diggers in the Pacific Northwest,Zoology 430,Marine Zoology,Fall,1977,,,
"Selleck, Scott","Evaluation of the transverse flagellar motion of Ceratium pentagonium, Amphidinium klebsii and Prorocentrum micans as seen with high speed cinematography",Zoology 430,Marine Zoology,Fall,1977,Ceratium pentagonum; Amphidinium klebsii; Prorocentrum micans,,
"Gonyea, Gary",Proposed impact of a floating breakwater at the University of Washington's Friday Harbor Laboratories,Fisheries 525,Marine Fish Ecology,Spring,1977,,Friday Harbor Laboratories,
"Gonyea, Gary","Diet changes in the species assemblage at Eagle Cove, San Juan Island",Fisheries 525,Marine Fish Ecology,Spring,1977,Ammodytes hexapterus,"Eagle Cove, San Juan Island",
"Hamalainen, Asko H.",Friday Harbor Pier Survey,Fisheries 525,Marine Fish Ecology,Spring,1977,,Friday Harbor,
"Livingston, Patricia","Diurnal variations in bottom trawl and bech seine catches of flatfish at Eagle Cove, San Juan Island, Washington",Fisheries 525,Marine Fish Ecology,Spring,1977,Parophrys vetulus; Psettichthys melanostictus; Lepidopsetta bilineata,"Eagle Cove, San Juan Island",
"Olson, Forrest",An assessment of possible environmental impacts resulting from construction of a floating breakwater at the University of Washington Friday Harbor Lab,Fisheries 525,Marine Fish Ecology,Spring,1977,,Friday Harbor Laboratories,
"Olson, Forrest","Behavior of juvenile chum salmon, (Oncorhynchus keta), in Eagle Cove on San Juan Island, Washington",Fisheries 525,Marine Fish Ecology,Spring,1977,Oncorhynchus keta,"Eagle Cove, San Juan Island",
"Quinn, T.",An analysis of hypotheses concerning the aggregation of marine fish to floating and mid-water objects in the pelagic environment,Fisheries 525,Marine Fish Ecology,Spring,1977,,,
"Quinn, Thomas","Diel movements and depth distribution of Hydrolagus colliei, with reference to its vision physiology",Fisheries 525,Marine Fish Ecology,Spring,1977,Hydrolagus colliei,,
"Miller, B.",A review of current theory of mating systems in fishes and application to local intertidal fish,Fisheries 525,Marine Fish Ecology,Spring,1977,,,
"Terry, Catherine","Field report on 23-24 April 1977 veach seine study in Eagle Cove, San Juan Island and comparison with a previous 24 hour Eagle Cove Study",Fisheries 525,Marine Fish Ecology,Spring,1977,Ammodytes hexapterus; Oncorhynchus keta; Parophrys vetulus,"Eagle Cove, San Juan Island",
"Wert, Michael",Oil as a pollutant in the marine environment,Fisheries 525,Marine Fish Ecology,Spring,1977,,,
"Wilkins, Mark E.",Some speculations on the icological impact of a proposed flaoating breakwater at Friday Harbor Laboratories,Fisheries 525,Marine Fish Ecology,Spring,1977,,Friday Harbor Laboratories,
"Wilkins, Mark E.",Diel changes in species distribution and species assemblage in Eagle Cove,Fisheries 525,Marine Fish Ecology,Spring,1977,,"Eagle Cove, San Juan Island",
"Coomes, Carol",The parasitic relationship of Turgidosculum ulvae on Blidingia minima var. vexata,Botany 565,Marine Mycology,Summer,1977,Turgidosculum ulvae; Blidingia minima var. vexata,,
"Koslowsky, Donna",Synchronous mitotic divisions in Labyrinthula,Botany 565,Marine Mycology,Summer,1977,Labyrinthula,,
"Niles, Heather",Motility in Thraustochytrium?,Botany 565,Marine Mycology,Summer,1977,Thraustochytrium motivum,,
"Raben, Tony",Survey of fungi in Stichaeidae,Botany 565,Marine Mycology,Summer,1977,Stichaeidae,,
"Seurynck, David M.",Some observations of the effects of the algal extracellular substances on fungal growth and development,Botany 565,Marine Mycology,Summer,1977,,,
"Breitburg, Denise",An investigation of various aspects of growth and regeneration in Odonthalia washingtoniensis (Kylin),Botany 545,Marine Algology,Summer,1977,"Odonthalia washingtoniensis
",,
"Coomes, Carol",Regeneration of the red alga Polysiphonia pacifica var. pacifica in long day-short day regimes,Botany 545,Marine Algology,Summer,1977,"Polysiphonia pacifica; Bonnemaisonia nootkana
",,
"Koslowsky, Donna",Temperature and regeneration in Griffithsia pacifica,Botany 545,Marine Algology,Summer,1977,"Griffithsia pacifica
",,
"La Vielle, Christine",A preliminary study of regeneration of excised monosiphonous branches of Heterosiphonia densiuscula,Botany 545,Marine Algology,Summer,1977,"Heterosiphonia densiuscula
",,
"Levin, Lisa",Regeneration and growth in Griffithsia pacifica,Botany 545,Marine Algology,Summer,1977,"Griffithsia pacifica
",,
"Matheson, Linda",Growth and regeneration in the alga Polysiphonia pacifica var. pacifica,Botany 545,Marine Algology,Summer,1977,"Polysiphonia pacifica
",,
"Niles, Heather G.",Regeneration experiments in Pilatythamnion pectinatum Kylin,Botany 545,Marine Algology,Summer,1977,Platythamnion pectinatum; Callithamnion roseum; Rhodophyta,,
"Rabin, T.","Effects of copper, mercury, and iron salts on Botryoglossum ruprechtianum J.G. Agardh (DeToni)",Botany 545,Marine Algology,Summer,1977,"Botryoglossum ruprechtiana
",,
"Ramm, Sue",Apical dominance and regeneration of Bonnemaissonia  nootkana (esp.) Silva (Nemaliales) in culture,Botany 545,Marine Algology,Summer,1977,"Bonnemaisonia nootkana
",,
"Seurynck, David",A look at growth behavior of different parts of Neogarhiella baileyi when sectioned,Botany 545,Marine Algology,Summer,1977,"Neogardhiella baileyi
",,
"Smouse, David T.",An investigation on the chromoproteins of selected rhodophytes,Botany 545,Marine Algology,Summer,1977,Cyanophyta; Bangiophycideae; Rhodophyta,,
"Alio, Jose Javier",Does a polychaete burrower care about the particle size of the sediment?,Zoology 533,Advanced Invertebrate Zoology,Summer,1977,Abarenicola pacifica; Abarenicola claparedi oceanica; Hemipodus borealis,,
"Best, Barbara A.","The detection of organic gradients by the polhychaete Lumbrineris zonata, and an examination of its foraging strategy.",Zoology 533,Advanced Invertebrate Zoology,Summer,1977,"Lumbrineris zonata
","False Bay, San Juan Island",
"Dupras, E.L.",Diet and feeding behavior of a local eunicid,Zoology 533,Advanced Invertebrate Zoology,Summer,1977,Eunicids,,
"Gallagher, Eugene D.",A study of the antigenic reactivity of prey items after various residence times in the guts of two polychaete species,Zoology 533,Advanced Invertebrate Zoology,Summer,1977,"Ophiodromus pugettensis; Ampharetid
",,
"Hunter, John M.",Filter feeding in two Abarenicola species: a straining experiment,Zoology 533,Advanced Invertebrate Zoology,Summer,1977,"Abarenicola
",,
"Levin, Lisa","Population and community studies of Axiothella rubrocincta in False Bay, San Juan Island, WA",Zoology 533,Advanced Invertebrate Zoology,Summer,1977,"Axiothella rubrocincta
","False Bay, San Juan Island",
