Term,Description,Units
location,"Cattle Point, San Juan Island",Lat/Long (in Notes)
time start,Time that the transect was started,24 hour time
time finish,Time that the transect was completed,24 hour time
tide height,"The height of each quadrat, in terms of feet above or below MLLW",(+) or (-) MLLW
tide time,"Current time when sea level was at the height recorded for ""tide height""",24 hour time
elevation,high or low; general areas at which basal diameters were measured,high/ low 
tide_pool_number,"If a tide pool was encountered, it was noted here",numerical
transect_number,1 through 3 for both high and low elevations,numerical
quadrat_number,1 through 30 for low; 1 through 15 for high,numerical
quadrat_position_cm,Position along each transect at which the quadrat was placed,numerical
anemone_number,Number of each individual anemone measured,numerical
basal_diameter_cm_length,"length of anemone, measured at the base",cm
basal_diameter_cm_width,"width of anemone, measured at the base",cm
